temperature,humidity,label,cluster
21,83,padi,1
22,81,padi,1
24,83,padi,1
27,81,padi,1
21,82,padi,1
24,84,padi,1
23,83,padi,1
21,83,padi,1
25,84,padi,1
24,84,padi,1
27,82,padi,1
24,82,padi,1
27,81,padi,1
25,83,padi,1
26,81,padi,1
25,81,padi,1
22,83,padi,1
24,81,padi,1
22,81,padi,1
24,84,padi,1
22,81,padi,1
26,84,padi,1
22,81,padi,1
22,83,padi,1
24,82,padi,1
26,81,padi,1
27,85,padi,1
25,81,padi,1
21,85,padi,1
23,81,padi,1
22,85,padi,1
23,81,padi,1
25,83,padi,1
21,82,padi,1
26,84,padi,1
27,83,padi,1
27,82,padi,1
24,84,padi,1
22,83,padi,1
25,84,padi,1
23,83,padi,1
26,84,padi,1
26,81,padi,1
24,85,padi,1
27,83,padi,1
25,81,padi,1
25,85,padi,1
24,85,padi,1
22,81,padi,1
25,81,padi,1
24,84,padi,1
21,81,padi,1
24,83,padi,1
22,82,padi,1
27,84,padi,1
24,85,padi,1
26,84,padi,1
25,83,padi,1
21,83,padi,1
22,81,padi,1
21,83,padi,1
26,84,padi,1
21,84,padi,1
22,81,padi,1
21,84,padi,1
25,83,padi,1
22,81,padi,1
26,83,padi,1
24,81,padi,1
24,81,padi,1
25,84,padi,1
23,83,padi,1
25,83,padi,1
22,84,padi,1
27,85,padi,1
23,82,padi,1
27,82,padi,1
25,82,padi,1
27,82,padi,1
23,84,padi,1
27,81,padi,1
26,83,padi,1
27,82,padi,1
27,85,padi,1
26,81,padi,1
23,84,padi,1
24,82,padi,1
26,82,padi,1
24,82,padi,1
21,85,padi,1
27,82,padi,1
24,84,padi,1
27,81,padi,1
27,84,padi,1
23,83,padi,1
23,84,padi,1
22,83,padi,1
22,84,padi,1
27,85,padi,1
24,84,padi,1
24,74,jagung,1
25,74,jagung,1
26,75,jagung,1
24,75,jagung,1
19,75,jagung,1
25,74,jagung,1
25,74,jagung,1
24,74,jagung,1
28,88,kacang hijau,1
29,81,kacang hijau,1
28,85,kacang hijau,1
29,82,kacang hijau,1
30,88,kacang hijau,1
30,90,kacang hijau,1
29,84,kacang hijau,1
28,86,kacang hijau,1
30,88,kacang hijau,1
29,83,kacang hijau,1
30,87,kacang hijau,1
28,87,kacang hijau,1
29,83,kacang hijau,1
30,85,kacang hijau,1
30,87,kacang hijau,1
30,86,kacang hijau,1
28,81,kacang hijau,1
28,85,kacang hijau,1
28,84,kacang hijau,1
29,90,kacang hijau,1
30,88,kacang hijau,1
29,86,kacang hijau,1
30,81,kacang hijau,1
28,87,kacang hijau,1
29,82,kacang hijau,1
29,83,kacang hijau,1
29,87,kacang hijau,1
28,89,kacang hijau,1
29,88,kacang hijau,1
28,89,kacang hijau,1
29,82,kacang hijau,1
29,85,kacang hijau,1
29,89,kacang hijau,1
28,87,kacang hijau,1
29,87,kacang hijau,1
30,85,kacang hijau,1
29,90,kacang hijau,1
30,89,kacang hijau,1
28,88,kacang hijau,1
30,84,kacang hijau,1
28,89,kacang hijau,1
30,90,kacang hijau,1
29,83,kacang hijau,1
30,86,kacang hijau,1
30,90,kacang hijau,1
29,83,kacang hijau,1
28,90,kacang hijau,1
28,88,kacang hijau,1
28,82,kacang hijau,1
30,86,kacang hijau,1
29,85,kacang hijau,1
28,90,kacang hijau,1
28,86,kacang hijau,1
28,87,kacang hijau,1
29,86,kacang hijau,1
28,82,kacang hijau,1
28,90,kacang hijau,1
30,85,kacang hijau,1
30,86,kacang hijau,1
29,88,kacang hijau,1
30,88,kacang hijau,1
30,83,kacang hijau,1
28,88,kacang hijau,1
28,88,kacang hijau,1
30,89,kacang hijau,1
28,90,kacang hijau,1
29,87,kacang hijau,1
29,84,kacang hijau,1
30,81,kacang hijau,1
28,81,kacang hijau,1
30,90,kacang hijau,1
30,89,kacang hijau,1
29,83,kacang hijau,1
28,84,kacang hijau,1
30,82,kacang hijau,1
29,89,kacang hijau,1
28,87,kacang hijau,1
29,87,kacang hijau,1
30,88,kacang hijau,1
30,87,kacang hijau,1
29,85,kacang hijau,1
29,81,kacang hijau,1
30,81,kacang hijau,1
30,81,kacang hijau,1
30,84,kacang hijau,1
28,89,kacang hijau,1
28,86,kacang hijau,1
30,82,kacang hijau,1
29,84,kacang hijau,1
28,87,kacang hijau,1
29,89,kacang hijau,1
30,90,kacang hijau,1
29,84,kacang hijau,1
29,88,kacang hijau,1
29,81,kacang hijau,1
29,90,kacang hijau,1
28,84,kacang hijau,1
29,84,kacang hijau,1
29,87,kacang hijau,1
29,84,kacang hijau,1
25,92,delima,1
20,90,delima,1
19,88,delima,1
25,95,delima,1
23,90,delima,1
25,93,delima,1
23,90,delima,1
23,92,delima,1
20,95,delima,1
24,93,delima,1
25,86,delima,1
25,86,delima,1
20,87,delima,1
25,94,delima,1
24,90,delima,1
20,90,delima,1
23,93,delima,1
22,95,delima,1
19,89,delima,1
24,90,delima,1
23,90,delima,1
22,95,delima,1
21,90,delima,1
19,92,delima,1
20,90,delima,1
24,92,delima,1
19,88,delima,1
23,92,delima,1
19,90,delima,1
20,89,delima,1
25,91,delima,1
19,90,delima,1
20,91,delima,1
19,88,delima,1
20,95,delima,1
20,90,delima,1
24,88,delima,1
25,95,delima,1
25,94,delima,1
25,86,delima,1
21,88,delima,1
22,94,delima,1
23,89,delima,1
21,90,delima,1
25,86,delima,1
25,92,delima,1
20,88,delima,1
23,91,delima,1
23,86,delima,1
23,86,delima,1
25,90,delima,1
24,94,delima,1
22,95,delima,1
19,92,delima,1
23,90,delima,1
25,91,delima,1
20,89,delima,1
20,87,delima,1
19,94,delima,1
24,90,delima,1
24,94,delima,1
21,86,delima,1
21,88,delima,1
21,92,delima,1
25,87,delima,1
25,91,delima,1
25,93,delima,1
25,90,delima,1
21,91,delima,1
22,95,delima,1
23,87,delima,1
23,89,delima,1
24,95,delima,1
20,88,delima,1
20,89,delima,1
25,91,delima,1
25,89,delima,1
22,95,delima,1
25,87,delima,1
19,91,delima,1
21,92,delima,1
24,95,delima,1
24,93,delima,1
20,90,delima,1
21,93,delima,1
19,95,delima,1
19,90,delima,1
23,89,delima,1
20,87,delima,1
25,92,delima,1
24,93,delima,1
23,94,delima,1
25,86,delima,1
21,92,delima,1
19,86,delima,1
21,86,delima,1
20,90,delima,1
22,93,delima,1
24,94,delima,1
24,87,delima,1
30,77,pisang,1
28,84,pisang,1
28,83,pisang,1
30,81,pisang,1
27,80,pisang,1
26,85,pisang,1
28,81,pisang,1
30,79,pisang,1
27,84,pisang,1
30,77,pisang,1
29,83,pisang,1
30,77,pisang,1
29,76,pisang,1
28,79,pisang,1
29,79,pisang,1
26,84,pisang,1
26,79,pisang,1
28,80,pisang,1
26,76,pisang,1
29,83,pisang,1
27,77,pisang,1
26,79,pisang,1
26,85,pisang,1
28,81,pisang,1
27,83,pisang,1
30,80,pisang,1
30,78,pisang,1
26,78,pisang,1
27,82,pisang,1
29,78,pisang,1
28,84,pisang,1
28,82,pisang,1
26,82,pisang,1
29,80,pisang,1
30,77,pisang,1
28,83,pisang,1
26,83,pisang,1
26,84,pisang,1
27,82,pisang,1
30,79,pisang,1
27,80,pisang,1
26,76,pisang,1
30,81,pisang,1
28,78,pisang,1
30,84,pisang,1
26,85,pisang,1
26,79,pisang,1
26,82,pisang,1
27,78,pisang,1
29,80,pisang,1
29,82,pisang,1
27,84,pisang,1
27,82,pisang,1
28,77,pisang,1
29,83,pisang,1
30,84,pisang,1
28,82,pisang,1
27,85,pisang,1
28,83,pisang,1
26,84,pisang,1
29,76,pisang,1
26,81,pisang,1
28,77,pisang,1
30,84,pisang,1
30,82,pisang,1
28,82,pisang,1
27,82,pisang,1
30,78,pisang,1
28,80,pisang,1
29,77,pisang,1
26,85,pisang,1
26,85,pisang,1
26,85,pisang,1
30,79,pisang,1
27,79,pisang,1
28,84,pisang,1
26,81,pisang,1
27,77,pisang,1
26,80,pisang,1
29,81,pisang,1
29,78,pisang,1
29,83,pisang,1
28,85,pisang,1
29,79,pisang,1
30,81,pisang,1
28,84,pisang,1
26,82,pisang,1
29,85,pisang,1
27,83,pisang,1
28,78,pisang,1
26,80,pisang,1
30,77,pisang,1
28,77,pisang,1
26,79,pisang,1
30,85,pisang,1
28,85,pisang,1
29,77,pisang,1
29,83,pisang,1
28,79,pisang,1
30,79,pisang,1
30,82,anggur,1
31,83,anggur,1
33,84,anggur,1
38,81,anggur,1
23,84,anggur,1
17,83,anggur,1
30,81,anggur,1
18,81,anggur,1
28,84,anggur,1
18,81,anggur,1
20,83,anggur,1
30,82,anggur,1
37,81,anggur,1
21,82,anggur,1
26,84,anggur,1
31,83,anggur,1
19,81,anggur,1
24,83,anggur,1
34,82,anggur,1
17,83,anggur,1
36,83,anggur,1
22,82,anggur,1
17,84,anggur,1
21,82,anggur,1
26,84,anggur,1
34,84,anggur,1
26,81,anggur,1
16,82,anggur,1
23,81,anggur,1
35,82,anggur,1
32,84,anggur,1
29,81,anggur,1
28,84,anggur,1
22,83,anggur,1
32,83,anggur,1
21,81,anggur,1
30,82,anggur,1
15,81,anggur,1
16,82,anggur,1
19,82,anggur,1
20,84,anggur,1
34,83,anggur,1
24,81,anggur,1
14,84,anggur,1
36,84,anggur,1
27,82,anggur,1
25,81,anggur,1
30,84,anggur,1
18,83,anggur,1
25,83,anggur,1
16,81,anggur,1
22,81,anggur,1
27,81,anggur,1
18,82,anggur,1
30,83,anggur,1
35,84,anggur,1
36,83,anggur,1
20,81,anggur,1
17,83,anggur,1
22,81,anggur,1
20,83,anggur,1
26,83,anggur,1
26,82,anggur,1
18,83,anggur,1
14,81,anggur,1
28,83,anggur,1
14,81,anggur,1
25,83,anggur,1
28,83,anggur,1
19,84,anggur,1
27,81,semangka,1
26,84,semangka,1
26,82,semangka,1
25,89,semangka,1
27,82,semangka,1
25,89,semangka,1
27,89,semangka,1
26,90,semangka,1
27,86,semangka,1
25,90,semangka,1
27,81,semangka,1
25,85,semangka,1
26,84,semangka,1
27,84,semangka,1
26,81,semangka,1
26,85,semangka,1
27,90,semangka,1
25,90,semangka,1
27,89,semangka,1
26,81,semangka,1
27,88,semangka,1
25,87,semangka,1
26,85,semangka,1
26,88,semangka,1
26,88,semangka,1
26,90,semangka,1
25,82,semangka,1
26,81,semangka,1
25,86,semangka,1
25,89,semangka,1
25,85,semangka,1
26,83,semangka,1
25,85,semangka,1
25,85,semangka,1
27,87,semangka,1
27,87,semangka,1
27,85,semangka,1
27,83,semangka,1
